Num_threads	10^6	10^7	10^8	10^9
1	0.0017471238970757	0.0175032876431942	0.1779513861984015	1.8276351783424616
2	0.0008701719343662	0.0089551191776991	0.0881382264196873	0.9117617700248957
3	0.0005834754556417	0.0058450084179640	0.0590047445148230	0.6026563141494989
4	0.0006732977926731	0.0045812800526619	0.0443323124200106	0.4502689577639103
5	0.0003492757678032	0.0036524869501591	0.0355729926377535	0.3609900865703821
6	0.0002911221235991	0.0031202360987663	0.0296227056533098	0.3007123414427042
7	0.0002507194876671	0.0025565624237061	0.0252523142844439	0.2571549322456121
8	0.0002187807112932	0.0023856125771999	0.0222398582845926	0.2245040088891983
9	0.0002047698944807	0.0020090863108635	0.0198178421705961	0.2000835631042719
10	0.0001962427049875	0.0017564576119184	0.0178878437727690	0.1800488699227571
11	0.0002352409064770	0.0025089625269175	0.0161056220531464	0.1630622204393148
12	0.0002117976546288	0.0015534311532974	0.0150856543332338	0.1499204300343990
13	0.0002089869230986	0.0018631368875504	0.0138162337243557	0.1461386829614639
14	0.0001573432236910	0.0012761130928993	0.0129153300076723	0.1281785480678082
15	0.0001822188496590	0.0014863591641188	0.0121193863451481	0.1204937491565943
16	0.0001151300966740	0.0011456180363894	0.0113276783376932	0.1227595545351505
17	0.0001211538910866	0.0010327994823456	0.0117271617054939	0.1067408751696348
18	0.0001493804156780	0.0010240897536278	0.0102389007806778	0.1000870130956173
19	0.0001407433301210	0.0014325678348541	0.0102253202348948	0.0950492378324270
20	0.0001291781663895	0.0011398978531361	0.0108431465923786	0.0901971552520990
21	0.0001276191323996	0.0010658036917448	0.0089112725108862	0.0864493101835251
22	0.0001194886863232	0.0010169930756092	0.0084287300705910	0.0829394683241844
23	0.0001541040837765	0.0013317670673132	0.0086253043264151	0.0790556482970715
24	0.0001064632087946	0.0009294264018536	0.0084028337150812	0.0763458050787449
25	0.0001020655035973	0.0010698605328798	0.0087322015315294	0.0742596201598644
26	0.0000986903905869	0.0010487064719200	0.0089071914553642	0.0737852845340967
27	0.0000972393900156	0.0009955223649740	0.0096037797629833	0.0730024687945843
