Num_threads	10^6	10^7	10^8	10^9
1	0.0014749806374311	0.0147594701498747	0.1476398680359125	1.5009632032364606
2	0.0008609801530838	0.0084843739867210	0.0766514021903276	0.7574900452047586
3	0.0007533349096775	0.0056871764361858	0.0506266225129366	0.5103847205638885
4	0.0006868880242109	0.0044525526463985	0.0415061060339212	0.3822513312101364
5	0.0004452697932720	0.0061505347490311	0.0325676932930946	0.3087138537317514
6	0.0004390299320221	0.0040399316698313	0.0299419943243265	0.2584587436169386
7	0.0004660602658987	0.0064508814364672	0.0281765818595886	0.2225671648979187
8	0.0008493006229401	0.0099428907036781	0.0244369354099035	0.1910856004804373
9	0.0010217402130365	0.0101437959820032	0.0267825916409492	0.1744847871363163
10	0.0008068386465311	0.0077230479568243	0.0214501243084669	0.1613581258803606
11	0.0007176242768764	0.0124716598540545	0.0207081019878387	0.1373345419764519
12	0.0010275844484568	0.0061381608247757	0.0219346240162849	0.1398957714438439
13	0.0008749298751354	0.0136419296264648	0.0249842498451471	0.1342227607965469
14	0.0010638482868671	0.0127080045640469	0.0239074252545834	0.1236068185418844
15	0.0007857050746679	0.0119496326893568	0.0224208198487759	0.1208395663648844
16	0.0016034033149481	0.0114258136600256	0.0218071702867746	0.1081766031682491
17	0.0006653279066086	0.0090387530624866	0.0191648017615080	0.1173720307648182
18	0.0007980212569237	0.0116971239447594	0.0177798174321651	0.0962773263454437
19	0.0013805959373713	0.0118160169571638	0.0224808119237423	0.1039921682327986
20	0.0136474143713713	0.0107770662754774	0.0232442781329155	0.1073442723602056
21	0.0072723962366581	0.0133133027702570	0.0223548207432032	0.1060197606682777
22	0.0077005282044411	0.0106620773673058	0.0204216301441193	0.1008978512138128
23	0.0006246127188206	0.0101785171777010	0.0210048444569111	0.0943692553788424
24	0.0006138447672129	0.0095428004860878	0.0184600178152323	0.0988532289862633
25	0.0059778526425362	0.0115000952035189	0.0223025865852833	0.1014324352145195
26	0.0006220363080502	0.0112252239137888	0.0187315423041582	0.0969974655658007
27	0.0113855384290218	0.0115975473076105	0.0206696074455976	0.0924871340394020
28	0.0139990095049143	0.0115502428263426	0.0193684734404087	0.0886997316032648
29	0.0071501862257719	0.0118947867304087	0.0202158607542515	0.0977788332849741
30	0.0092832967638969	0.0098457057029009	0.0179037995636463	0.0914782907813787
31	0.0007889453321695	0.0113402891904116	0.0223044730722904	0.0873604834079742
32	0.0129824589937925	0.0111054666340351	0.0205843344330788	0.0887387104332447
33	0.0015211790800095	0.0133677471429110	0.0195202741771936	0.0933703444898129
34	0.0136666532605886	0.0103335164487362	0.0192370954900980	0.0930318191647530
